Sample;PCR_Subspecies;SKA_Subspecies;Species;Sex;Location;Control;visual_genus;visual_species;lat;long;Municipality;Original_name
MEMO001;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0051
MEMO002;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0052
MEMO003;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0053
MEMO004;Culex torrentium;Culex torrentium;Culex torrentium;female;MM;No;Culex;torrentium;50.995.194;5.621.833;Maasmechelen;M19G0054
MEMO005;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0055
MEMO006;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0056
MEMO007;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0057
MEMO008;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0058
MEMO010;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.194;5.621.833;Maasmechelen;M19G0059
MEMO011;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0060
MEMO012;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0061
MEMO013;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0062
MEMO014;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0063
MEMO015;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0064
MEMO016;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0065
MEMO017;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0066
MEMO018;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0067
MEMO019;Culex pipiens potential hybrid;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens undetermined;50.632.556;6.073.283;Eupen;M19G0068
MEMO021;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0069
MEMO022;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0070
MEMO023;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0071
MEMO024;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0072
MEMO025;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0073
MEMO026;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0074
MEMO027;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;EU;No;Culex;pipiens pipiens;50.632.556;6.073.283;Eupen;M19G0075
MEMO028;Culex torrentium;Culex torrentium;Culex torrentium;female;EU;No;Culex;torrentium;50.632.556;6.073.283;Eupen;M19G0076
MEMO029;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.653;4.193.019;Vrasene;M19B0505
MEMO030;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.653;4.193.019;Vrasene;M19B0506
MEMO031;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.653;4.193.019;Vrasene;M19B0507
MEMO032;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;AT;No;Culex;pipiens pipiens;51.213.653;4.193.019;Vrasene;M19B0508
MEMO033;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;male;AT;No;Culex;pipiens molestus;51.213.653;4.193.019;Vrasene;M19B0509
MEMO034;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;AT;No;Culex;pipiens pipiens;51.213.653;4.193.019;Vrasene;M19B0510
MEMO035;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0511
MEMO036;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0512
MEMO037;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0513
MEMO038;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0514
MEMO039;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;MM;No;Culex;pipiens molestus;50.995.228;5.621.878;Maasmechelen;M19B0515
MEMO040;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0516
MEMO041;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0517
MEMO042;Culex torrentium;Culex torrentium;Culex torrentium;female;MM;No;Culex;torrentium;50.995.228;5.621.878;Maasmechelen;M19B0518
MEMO043;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;MM;No;Culex;pipiens pipiens;50.995.228;5.621.878;Maasmechelen;M19B0519
MEMO044;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0381
MEMO045;Culex pipiens undetermined;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens undetermined;51.213.647;4.192.997;Vrasene;M19M0382
MEMO047;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0383
MEMO048;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;AT;No;Culex;pipiens molestus;51.213.647;4.192.997;Vrasene;M19M0384
MEMO049;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;female;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0385
MEMO050;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;BA;No;Culex;pipiens molestus;50.412.581;3.923.411;Frameries;M19M0386
MEMO051;Culex pipiens molestus;Culex pipiens molestus;Culex pipiens;female;BA;No;Culex;pipiens molestus;50.412.581;3.923.411;Frameries;M19M0387
MEMO052;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0388
MEMO053;Culex pipiens pipiens;Culex pipiens pipiens;Culex pipiens;male;BA;No;Culex;pipiens pipiens;50.412.581;3.923.411;Frameries;M19M0389
