Sample,Target,Replication Number,Quantity Mean,Quantity SD
MEMO029,CPV,2,NA,NA
MEMO030,CPV,2,NA,NA
MEMO031,CPV,2,NA,NA
MEMO032,CPV,2,NA,NA
MEMO033,CPV,2,NA,NA
MEMO034,CPV,2,NA,NA
MEMO035,CPV,2,NA,NA
MEMO036,CPV,2,NA,NA
MEMO037,CPV,2,NA,NA
MEMO038,CPV,2,NA,NA
MEMO039,CPV,2,NA,NA
MEMO040,CPV,2,NA,NA
MEMO041,CPV,2,NA,NA
MEMO042,CPV,2,NA,NA
MEMO043,CPV,2,NA,NA
MEMO001,CPV,2,NA,NA
MEMO002,CPV,2,NA,NA
MEMO003,CPV,2,NA,NA
MEMO004,CPV,2,NA,NA
MEMO005,CPV,2,NA,NA
MEMO006,CPV,2,NA,NA
MEMO007,CPV,2,NA,NA
MEMO008,CPV,2,NA,NA
MEMO010,CPV,2,NA,NA
MEMO011,CPV,2,NA,NA
MEMO012,CPV,2,NA,NA
MEMO013,CPV,2,NA,NA
MEMO014,CPV,2,NA,NA
MEMO015,CPV,2,NA,NA
MEMO016,CPV,2,NA,NA
MEMO017,CPV,2,NA,NA
MEMO018,CPV,2,NA,NA
MEMO019,CPV,2,NA,NA
MEMO021,CPV,2,NA,NA
MEMO022,CPV,2,NA,NA
MEMO023,CPV,2,NA,NA
MEMO024,CPV,2,NA,NA
MEMO025,CPV,2,NA,NA
MEMO026,CPV,2,NA,NA
MEMO027,CPV,2,NA,NA
MEMO028,CPV,2,NA,NA
NC,CPV,2,NA,NA
MEMO081,CPV,2,NA,NA
MEMO082,CPV,2,NA,NA
MEMO044,CPV,2,21891.649457388696,"5124.129230712767,"
MEMO045,CPV,2,NA,NA
MEMO047,CPV,2,NA,NA
MEMO048,CPV,2,4913.730708383291,"69.75949452978489,"
MEMO049,CPV,2,NA,NA
MEMO050,CPV,2,NA,NA
MEMO051,CPV,2,NA,NA
MEMO052,CPV,2,NA,NA
MEMO053,CPV,2,NA,NA
MEMO054,CPV,2,NA,NA
MEMO055,CPV,2,NA,NA
MEMO056,CPV,2,NA,NA
MEMO057,CPV,2,NA,NA
MEMO058,CPV,2,NA,NA
MEMO059,CPV,2,NA,NA
MEMO060,CPV,2,197484.751125214,"51792.43725208559,"
MEMO061,CPV,2,709517.8451549197,"73096.19744648262,"
MEMO062,CPV,2,NA,NA
MEMO063,CPV,2,249407.9771517829,"2431.9860965045314,"
MEMO064,CPV,2,27835.577243740765,"3722.9324235571676,"
MEMO065,CPV,2,220843.5007388543,"20635.273178190713,"
MEMO066,CPV,2,21764.242907296288,"6105.802055191078,"
MEMO067,CPV,2,4521294.308855871,"4150121.1132965754,"
MEMO068,CPV,2,439353.6073090811,"20659.75316575077,"
MEMO069,CPV,2,1010001.9855209412,"517656.93525122845,"
MEMO070,CPV,2,29201.619818249543,"9045.78706165215,"
MEMO071,CPV,2,68432.41311191606,"1874.148289480776,"
MEMO072,CPV,2,307765.3921606367,"1076.2909600063954,"
MEMO073,CPV,2,20814.346155258347,"451.8947222420926,"
MEMO074,CPV,2,NA,NA
MEMO075,CPV,2,650848.2872110447,"237734.98042199633,"
MEMO077,CPV,2,130011.44311843648,"3027.1547100230046,"
MEMO078,CPV,2,4.960552519470092,"2.7618537418373967,"
MEMO079,CPV,2,36935.25869763245,"2896.493855897871,"
MEMO080,CPV,2,NA,NA
MEMO083,CPV,2,NA,NA
MEMO084,CPV,2,NA,NA
MEMO085,CPV,2,NA,NA
MEMO086,CPV,2,NA,NA
NC,CPV,2,NA,NA
MEMO115,CPV,2,NA,NA
MEMO116,CPV,2,NA,NA
MEMO117,CPV,2,NA,NA
MEMO118,CPV,2,NA,NA
MEMO119,CPV,2,NA,NA
MEMO120,CPV,2,NA,NA
MEMO121,CPV,2,NA,NA
MEMO122,CPV,2,2766.186662826389,"384.1460014052209,"
MEMO123,CPV,2,NA,NA
MEMO124,CPV,2,NA,NA
MEMO125,CPV,2,NA,NA
MEMO126,CPV,2,NA,NA
MEMO127,CPV,2,NA,NA
MEMO087,CPV,2,NA,NA
MEMO088,CPV,2,NA,NA
MEMO089,CPV,2,NA,NA
MEMO090,CPV,2,NA,NA
MEMO091,CPV,2,NA,NA
MEMO092,CPV,2,NA,NA
MEMO093,CPV,2,NA,NA
MEMO094,CPV,2,NA,NA
MEMO095,CPV,2,NA,NA
MEMO096,CPV,2,NA,NA
MEMO097,CPV,2,NA,NA
MEMO098,CPV,2,NA,NA
MEMO099,CPV,2,NA,NA
MEMO100,CPV,2,NA,NA
MEMO101,CPV,2,NA,NA
MEMO102,CPV,2,NA,NA
MEMO103,CPV,2,NA,NA
MEMO104,CPV,2,NA,NA
MEMO105,CPV,2,NA,NA
MEMO106,CPV,2,NA,NA
MEMO107,CPV,2,NA,NA
MEMO108,CPV,2,NA,NA
MEMO109,CPV,2,NA,NA
MEMO110,CPV,2,NA,NA
MEMO111,CPV,2,NA,NA
MEMO112,CPV,2,NA,NA
MEMO113,CPV,2,NA,NA
MEMO128,CPV,2,NA,NA
NC,CPV,2,NA,NA
MEMO141,CPV,2,NA,NA
MEMO146,CPV,2,NA,NA
MEMO142,CPV,2,NA,NA
MEMO143,CPV,2,NA,NA
MEMO144,CPV,2,NA,NA
MEMO145,CPV,2,NA,NA
MEMO129,CPV,2,NA,NA
MEMO130,CPV,2,NA,NA
MEMO131,CPV,2,NA,NA
MEMO132,CPV,2,NA,NA
MEMO133,CPV,2,NA,NA
MEMO134,CPV,2,NA,NA
MEMO135,CPV,2,NA,NA
MEMO136,CPV,2,NA,NA
MEMO137,CPV,2,NA,NA
MEMO138,CPV,2,NA,NA
MEMO139,CPV,2,NA,NA
MEMO140,CPV,2,NA,NA
MEMO147,CPV,2,NA,NA
MEMO148,CPV,2,NA,NA
MEMO149,CPV,2,NA,NA
NC,CPV,2,NA,NA
NEMO01,CPV,2,NA,NA
NEMO02,CPV,2,NA,NA
NEMO03,CPV,2,NA,NA
NEMO04,CPV,2,NA,NA
NEMO05,CPV,2,NA,NA
NEMO06,CPV,2,NA,NA
NEMO07,CPV,2,NA,NA
NEMO08,CPV,2,NA,NA
NEMO09,CPV,2,NA,NA
NEMO10,CPV,2,NA,NA
NEMO11,CPV,2,NA,NA
NEMO12,CPV,2,NA,NA
NEMO13,CPV,2,NA,NA
NEMO14,CPV,2,NA,NA
NEMO15,CPV,2,NA,NA
NEMO16,CPV,2,NA,NA
NEMO17,CPV,2,NA,NA
NEMO18,CPV,2,NA,NA
NEMO19,CPV,2,NA,NA
NEMO20,CPV,2,NA,NA
NC,CPV,2,NA,NA
NEMO21,CPV,2,NA,NA
NEMO22,CPV,2,NA,NA
NEMO23,CPV,2,NA,NA
NEMO24,CPV,2,NA,NA
NEMO25,CPV,2,NA,NA
NEMO26,CPV,2,NA,NA
NEMO27,CPV,2,NA,NA
NEMO28,CPV,2,NA,NA
NEMO29,CPV,2,NA,NA
NEMO30,CPV,2,NA,NA
NEMO31,CPV,2,NA,NA
NEMO32,CPV,2,NA,NA
NEMO33,CPV,2,NA,NA
NEMO34,CPV,2,NA,NA
NEMO35,CPV,2,NA,NA
NEMO36,CPV,2,NA,NA
NEMO37,CPV,2,NA,NA
NEMO38,CPV,2,NA,NA
NEMO39,CPV,2,NA,NA
NEMO40,CPV,2,NA,NA
NEMO41,CPV,2,NA,NA
NEMO42,CPV,2,NA,NA
NEMO43,CPV,2,NA,NA
NEMO44,CPV,2,NA,NA
NEMO45,CPV,2,NA,NA
NEMO46,CPV,2,NA,NA
NEMO47,CPV,2,NA,NA
NEMO48,CPV,2,NA,NA
NEMO49,CPV,2,NA,NA
NEMO50,CPV,2,NA,NA
NEMO51,CPV,2,NA,NA
NEMO52,CPV,2,NA,NA
NEMO53,CPV,2,NA,NA
NEMO54,CPV,2,NA,NA
MEMO029,XCV,2,NA,NA
MEMO030,XCV,2,NA,NA
MEMO031,XCV,2,NA,NA
MEMO032,XCV,2,65631.57528930636,"3464.652930232759,"
MEMO033,XCV,2,NA,NA
MEMO034,XCV,2,NA,NA
MEMO035,XCV,2,NA,NA
MEMO036,XCV,2,NA,NA
MEMO037,XCV,2,NA,NA
MEMO038,XCV,2,3723.872215947522,"172.76084753934418,"
MEMO039,XCV,2,NA,NA
MEMO040,XCV,2,NA,NA
MEMO041,XCV,2,NA,NA
MEMO042,XCV,2,NA,NA
MEMO043,XCV,2,NA,NA
MEMO001,XCV,2,NA,NA
MEMO002,XCV,2,NA,NA
MEMO003,XCV,2,NA,NA
MEMO004,XCV,2,NA,NA
MEMO005,XCV,2,NA,NA
MEMO006,XCV,2,NA,NA
MEMO007,XCV,2,NA,NA
MEMO008,XCV,2,NA,NA
MEMO010,XCV,2,NA,NA
MEMO011,XCV,2,NA,NA
MEMO012,XCV,2,NA,NA
MEMO013,XCV,2,NA,NA
MEMO014,XCV,2,NA,NA
MEMO015,XCV,2,NA,NA
MEMO016,XCV,2,NA,NA
MEMO017,XCV,2,NA,NA
MEMO018,XCV,2,NA,NA
MEMO019,XCV,2,NA,NA
MEMO021,XCV,2,NA,NA
MEMO022,XCV,2,NA,NA
MEMO023,XCV,2,NA,NA
MEMO024,XCV,2,NA,NA
MEMO025,XCV,2,178800.1250150823,"23058.34473875451,"
MEMO026,XCV,2,NA,NA
MEMO027,XCV,2,NA,NA
MEMO028,XCV,2,NA,NA
NC,XCV,2,NA,NA
MEMO081,XCV,2,NA,NA
MEMO082,XCV,2,NA,NA
MEMO044,XCV,2,NA,NA
MEMO045,XCV,2,NA,NA
MEMO047,XCV,2,NA,NA
MEMO048,XCV,2,NA,NA
MEMO049,XCV,2,13418.14753891945,"821.287030560803,"
MEMO050,XCV,2,NA,NA
MEMO051,XCV,2,136468.30873241654,"10034.94282068263,"
MEMO052,XCV,2,107370.67476675588,"52546.6402866761,"
MEMO053,XCV,2,138780.6864322361,"17440.05136497103,"
MEMO054,XCV,2,NA,NA
MEMO055,XCV,2,NA,NA
MEMO056,XCV,2,NA,NA
MEMO057,XCV,2,NA,NA
MEMO058,XCV,2,NA,NA
MEMO059,XCV,2,712691.9959829738,"25575.61636600728,"
MEMO060,XCV,2,NA,NA
MEMO061,XCV,2,NA,NA
MEMO062,XCV,2,8.347240328453138,"0.19240846532463757,"
MEMO063,XCV,2,NA,NA
MEMO064,XCV,2,NA,NA
MEMO065,XCV,2,NA,NA
MEMO066,XCV,2,NA,NA
MEMO067,XCV,2,NA,NA
MEMO068,XCV,2,NA,NA
MEMO069,XCV,2,NA,NA
MEMO070,XCV,2,NA,NA
MEMO071,XCV,2,NA,NA
MEMO072,XCV,2,NA,NA
MEMO073,XCV,2,NA,NA
MEMO074,XCV,2,NA,NA
