"Realm"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genome Composition"
"Adnaviria"	"Zilligvirae"	"Taleaviricota"	"Tokiviricetes"	"Ligamenvirales"	"Lipothrixviridae"	"dsDNA"
"Adnaviria"	"Zilligvirae"	"Taleaviricota"	"Tokiviricetes"	"Ligamenvirales"	"Rudiviridae"	"dsDNA"
"Adnaviria"	"Zilligvirae"	"Taleaviricota"	"Tokiviricetes"	"Primavirales"	"Tristromaviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Peploviricota"	"Herviviricetes"	"Herpesvirales"	"Alloherpesviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Peploviricota"	"Herviviricetes"	"Herpesvirales"	"Herpesviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Peploviricota"	"Herviviricetes"	"Herpesvirales"	"Malacoherpesviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Ackermannviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Autographiviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Chaseviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Demerecviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Drexlerviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Guelinviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Herelleviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Rountreeviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Salasmaviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Schitoviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Zobellviridae"	"dsDNA"
"Duplodnaviria"	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	NA	"dsDNA"
"Monodnaviria"	"Loebvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Inoviridae"	"ssDNA(+)"
"Monodnaviria"	"Loebvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Inoviridae"	"ssDNA"
"Monodnaviria"	"Loebvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Paulinoviridae"	"ssDNA(+)"
"Monodnaviria"	"Loebvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Plectroviridae"	"ssDNA(+)"
"Monodnaviria"	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"ssDNA"
"Monodnaviria"	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"ssDNA(+)"
"Monodnaviria"	"Shotokuvirae"	"Cossaviricota"	"Mouviricetes"	"Polivirales"	"Bidnaviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cossaviricota"	"Papovaviricetes"	"Sepolyvirales"	"Polyomaviridae"	"dsDNA"
"Monodnaviria"	"Shotokuvirae"	"Cossaviricota"	"Papovaviricetes"	"Zurhausenvirales"	"Papillomaviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cossaviricota"	"Quintoviricetes"	"Piccovirales"	"Parvoviridae"	"ssDNA(+/-)"
"Monodnaviria"	"Shotokuvirae"	"Cossaviricota"	"Quintoviricetes"	"Piccovirales"	"Parvoviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Baphyvirales"	"Bacilladnaviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Cirlivirales"	"Circoviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Cirlivirales"	"Circoviridae"	"ssDNA(+)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Cirlivirales"	"Circoviridae"	"ssDNA(+/-)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Cremevirales"	"Smacoviridae"	"ssDNA(+/-)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Mulpavirales"	"Metaxyviridae"	"ssDNA(+)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Mulpavirales"	"Nanoviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Mulpavirales"	"Nanoviridae"	"ssDNA(+)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Recrevirales"	"Redondoviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Repensiviricetes"	"Geplafuvirales"	"Geminiviridae"	"ssDNA"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Repensiviricetes"	"Geplafuvirales"	"Geminiviridae"	"ssDNA(+)"
"Monodnaviria"	"Shotokuvirae"	"Cressdnaviricota"	"Repensiviricetes"	"Geplafuvirales"	"Genomoviridae"	"ssDNA(+/-)"
