file	sample	format	type	num_seqs	sum_len	min_len	avg_len	max_len
MEMO001/READ/TRIMMED/MEMO001.Hostout.R1.fastq.gz	MEMO001	FASTQ	DNA	535955	52267688	50	97.5	130
MEMO001/READ/TRIMMED/MEMO001.Hostout.R2.fastq.gz	MEMO001	FASTQ	DNA	535955	52173988	50	97.3	130
MEMO001/READ/TRIMMED/MEMO001.Hostout.unpaired.fastq.gz	MEMO001	FASTQ	DNA	238784	21448748	50	89.8	130
MEMO002/READ/TRIMMED/MEMO002.Hostout.R1.fastq.gz	MEMO002	FASTQ	DNA	408046	37529335	50	92.0	130
MEMO002/READ/TRIMMED/MEMO002.Hostout.R2.fastq.gz	MEMO002	FASTQ	DNA	408046	37462735	50	91.8	130
MEMO002/READ/TRIMMED/MEMO002.Hostout.unpaired.fastq.gz	MEMO002	FASTQ	DNA	239939	20528541	50	85.6	130
MEMO003/READ/TRIMMED/MEMO003.Hostout.R1.fastq.gz	MEMO003	FASTQ	DNA	348041	35149614	50	101.0	130
MEMO003/READ/TRIMMED/MEMO003.Hostout.R2.fastq.gz	MEMO003	FASTQ	DNA	348041	35083248	50	100.8	130
MEMO003/READ/TRIMMED/MEMO003.Hostout.unpaired.fastq.gz	MEMO003	FASTQ	DNA	161963	14808657	50	91.4	130
MEMO004/READ/TRIMMED/MEMO004.Hostout.R1.fastq.gz	MEMO004	FASTQ	DNA	61909	6284023	50	101.5	130
MEMO004/READ/TRIMMED/MEMO004.Hostout.R2.fastq.gz	MEMO004	FASTQ	DNA	61909	6287535	50	101.6	130
MEMO004/READ/TRIMMED/MEMO004.Hostout.unpaired.fastq.gz	MEMO004	FASTQ	DNA	42950	3805973	50	88.6	130
MEMO005/READ/TRIMMED/MEMO005.Hostout.R1.fastq.gz	MEMO005	FASTQ	DNA	544895	57172783	50	104.9	130
MEMO005/READ/TRIMMED/MEMO005.Hostout.R2.fastq.gz	MEMO005	FASTQ	DNA	544895	57101807	50	104.8	130
MEMO005/READ/TRIMMED/MEMO005.Hostout.unpaired.fastq.gz	MEMO005	FASTQ	DNA	192715	18691254	50	97.0	130
MEMO006/READ/TRIMMED/MEMO006.Hostout.R1.fastq.gz	MEMO006	FASTQ	DNA	405320	44518685	50	109.8	130
MEMO006/READ/TRIMMED/MEMO006.Hostout.R2.fastq.gz	MEMO006	FASTQ	DNA	405320	44610403	50	110.1	130
MEMO006/READ/TRIMMED/MEMO006.Hostout.unpaired.fastq.gz	MEMO006	FASTQ	DNA	123432	12428972	50	100.7	130
MEMO007/READ/TRIMMED/MEMO007.Hostout.R1.fastq.gz	MEMO007	FASTQ	DNA	543048	53421973	50	98.4	130
MEMO007/READ/TRIMMED/MEMO007.Hostout.R2.fastq.gz	MEMO007	FASTQ	DNA	543048	53409740	50	98.4	130
MEMO007/READ/TRIMMED/MEMO007.Hostout.unpaired.fastq.gz	MEMO007	FASTQ	DNA	191392	17492535	50	91.4	130
MEMO008/READ/TRIMMED/MEMO008.Hostout.R1.fastq.gz	MEMO008	FASTQ	DNA	249617	26492272	50	106.1	130
MEMO008/READ/TRIMMED/MEMO008.Hostout.R2.fastq.gz	MEMO008	FASTQ	DNA	249617	26450087	50	106.0	130
MEMO008/READ/TRIMMED/MEMO008.Hostout.unpaired.fastq.gz	MEMO008	FASTQ	DNA	102214	9817364	50	96.0	130
MEMO010/READ/TRIMMED/MEMO010.Hostout.R1.fastq.gz	MEMO010	FASTQ	DNA	420918	42478471	50	100.9	130
MEMO010/READ/TRIMMED/MEMO010.Hostout.R2.fastq.gz	MEMO010	FASTQ	DNA	420918	42385819	50	100.7	130
MEMO010/READ/TRIMMED/MEMO010.Hostout.unpaired.fastq.gz	MEMO010	FASTQ	DNA	128764	11983569	50	93.1	130
MEMO011/READ/TRIMMED/MEMO011.Hostout.R1.fastq.gz	MEMO011	FASTQ	DNA	2317909	268666035	50	115.9	130
MEMO011/READ/TRIMMED/MEMO011.Hostout.R2.fastq.gz	MEMO011	FASTQ	DNA	2317909	268212942	50	115.7	130
MEMO011/READ/TRIMMED/MEMO011.Hostout.unpaired.fastq.gz	MEMO011	FASTQ	DNA	372590	39805477	50	106.8	130
MEMO012/READ/TRIMMED/MEMO012.Hostout.R1.fastq.gz	MEMO012	FASTQ	DNA	500037	56024190	50	112.0	130
MEMO012/READ/TRIMMED/MEMO012.Hostout.R2.fastq.gz	MEMO012	FASTQ	DNA	500037	55915761	50	111.8	130
MEMO012/READ/TRIMMED/MEMO012.Hostout.unpaired.fastq.gz	MEMO012	FASTQ	DNA	164214	17128265	50	104.3	130
MEMO013/READ/TRIMMED/MEMO013.Hostout.R1.fastq.gz	MEMO013	FASTQ	DNA	298894	31073324	50	104.0	130
MEMO013/READ/TRIMMED/MEMO013.Hostout.R2.fastq.gz	MEMO013	FASTQ	DNA	298894	31019744	50	103.8	130
MEMO013/READ/TRIMMED/MEMO013.Hostout.unpaired.fastq.gz	MEMO013	FASTQ	DNA	107406	10109453	50	94.1	130
MEMO014/READ/TRIMMED/MEMO014.Hostout.R1.fastq.gz	MEMO014	FASTQ	DNA	341355	33316225	50	97.6	130
MEMO014/READ/TRIMMED/MEMO014.Hostout.R2.fastq.gz	MEMO014	FASTQ	DNA	341355	33294863	50	97.5	130
MEMO014/READ/TRIMMED/MEMO014.Hostout.unpaired.fastq.gz	MEMO014	FASTQ	DNA	127797	11357658	50	88.9	130
MEMO015/READ/TRIMMED/MEMO015.Hostout.R1.fastq.gz	MEMO015	FASTQ	DNA	260175	28522225	50	109.6	130
MEMO015/READ/TRIMMED/MEMO015.Hostout.R2.fastq.gz	MEMO015	FASTQ	DNA	260175	28475434	50	109.4	130
MEMO015/READ/TRIMMED/MEMO015.Hostout.unpaired.fastq.gz	MEMO015	FASTQ	DNA	85279	8118362	50	95.2	130
MEMO016/READ/TRIMMED/MEMO016.Hostout.R1.fastq.gz	MEMO016	FASTQ	DNA	551296	46062787	50	83.6	130
MEMO016/READ/TRIMMED/MEMO016.Hostout.R2.fastq.gz	MEMO016	FASTQ	DNA	551296	46048051	50	83.5	130
MEMO016/READ/TRIMMED/MEMO016.Hostout.unpaired.fastq.gz	MEMO016	FASTQ	DNA	328998	26091301	50	79.3	130
MEMO017/READ/TRIMMED/MEMO017.Hostout.R1.fastq.gz	MEMO017	FASTQ	DNA	598166	56096220	50	93.8	130
MEMO017/READ/TRIMMED/MEMO017.Hostout.R2.fastq.gz	MEMO017	FASTQ	DNA	598166	56032576	50	93.7	130
MEMO017/READ/TRIMMED/MEMO017.Hostout.unpaired.fastq.gz	MEMO017	FASTQ	DNA	259134	22314201	50	86.1	130
MEMO018/READ/TRIMMED/MEMO018.Hostout.R1.fastq.gz	MEMO018	FASTQ	DNA	439915	45613906	50	103.7	130
MEMO018/READ/TRIMMED/MEMO018.Hostout.R2.fastq.gz	MEMO018	FASTQ	DNA	439915	45538184	50	103.5	130
