Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
MEMO001	MEMO002	1782090	16914160	0.095318	0.0564011	6385	0.00358287
MEMO001	MEMO003	2013914	16657195	0.107863	0.0527801	6349	0.00315257
MEMO001	MEMO004	368863	12711345	0.0282001	0.0936482	2051	0.00556033
MEMO001	MEMO005	2286444	19166200	0.106581	0.0531283	7339	0.00320979
MEMO001	MEMO006	2228120	19024556	0.10484	0.053609	6931	0.00311069
MEMO001	MEMO007	2525773	20881028	0.107908	0.0527679	8721	0.0034528
MEMO001	MEMO008	1557755	14553018	0.0966903	0.0559804	4222	0.00271031
MEMO001	MEMO010	1954013	16264136	0.107256	0.0529442	5986	0.00306344
MEMO001	MEMO011	5291	18308024	0.000288915	0.240533	107	0.020223
MEMO001	MEMO012	2454514	19097010	0.113891	0.051201	7980	0.00325115
MEMO001	MEMO013	1817285	15010889	0.107991	0.0527455	4796	0.0026391
MEMO001	MEMO014	1994769	15884720	0.111567	0.0517984	5589	0.00280183
MEMO001	MEMO015	1216841	12869203	0.0863863	0.0593108	2237	0.00183837
MEMO001	MEMO016	1728692	18193920	0.0867703	0.0591791	6433	0.00372131
MEMO001	MEMO017	2254980	19335838	0.104442	0.05372	8115	0.0035987
MEMO001	MEMO018	744158	16465019	0.0432419	0.0803268	8348	0.011218
MEMO001	MEMO019	2629506	20567372	0.113356	0.0513372	8586	0.00326525
MEMO001	MEMO021	579628	17665972	0.0317681	0.0899168	8462	0.014599
MEMO001	MEMO022	1880746	15965249	0.105388	0.0534568	5289	0.00281218
MEMO001	MEMO023	764868	19172836	0.0383629	0.0840375	10043	0.0131304
MEMO001	MEMO024	2155395	17633824	0.108918	0.0524968	6024	0.00279485
MEMO001	MEMO025	1925785	20785924	0.0847926	0.0598641	6110	0.00317273
MEMO001	MEMO026	2192871	18603936	0.105443	0.0534415	6923	0.00315705
MEMO001	MEMO027	2578089	23346870	0.0994443	0.0551553	8989	0.00348669
MEMO001	MEMO028	668963	18352356	0.0351691	0.0867421	9478	0.0141682
MEMO001	MEMO029	2608638	24137656	0.0975327	0.0557253	9433	0.00361606
MEMO001	MEMO030	2694665	27036948	0.090633	0.0578886	11010	0.00408585
MEMO001	MEMO031	1836036	16682222	0.0991473	0.0552431	5149	0.00280441
MEMO001	MEMO032	2287274	19584284	0.104578	0.053682	7923	0.00346395
MEMO001	MEMO033	1324038	15890502	0.0769139	0.0627749	3849	0.00290702
MEMO001	MEMO034	1586778	14667103	0.0976246	0.0556977	4244	0.0026746
MEMO001	MEMO035	2297772	19563448	0.105107	0.0535345	8121	0.00353429
MEMO001	MEMO036	2335252	21101648	0.09964	0.0550977	8233	0.00352553
MEMO001	MEMO037	1373093	13478288	0.0924556	0.0573003	2988	0.00217611
MEMO001	MEMO038	1844497	15406574	0.106921	0.0530356	5359	0.0029054
MEMO001	MEMO039	2131245	17815278	0.106848	0.0530554	6944	0.00325819
MEMO001	MEMO040	2406781	21467156	0.100812	0.0547548	8360	0.00347352
MEMO001	MEMO041	1676450	14868976	0.101324	0.0546064	4233	0.00252498
MEMO001	MEMO042	714235	19772424	0.0348634	0.0870142	10828	0.0151603
MEMO001	MEMO043	2151904	18969198	0.101884	0.054445	7006	0.00325572
MEMO001	MEMO044	1923303	17864212	0.0971978	0.0558264	7390	0.00384235
MEMO001	MEMO045	2256495	19993552	0.101415	0.05458	8651	0.00383382
MEMO001	MEMO047	2125694	19138492	0.0999659	0.0550019	8257	0.00388438
MEMO001	MEMO048	1903701	17852836	0.096358	0.0560816	6154	0.00323265
MEMO001	MEMO049	1951081	15994822	0.10872	0.0525496	5513	0.00282561
MEMO001	MEMO050	2442612	21754446	0.100947	0.0547157	8838	0.00361826
MEMO001	MEMO051	2468318	20602746	0.106988	0.0530173	9838	0.00398571
MEMO001	MEMO052	2326474	19580598	0.106197	0.0532334	8000	0.00343868
MEMO001	MEMO053	1431382	14261800	0.0912104	0.0577009	3171	0.00221534
MEMO001	MEMO054	1696544	15844478	0.0967187	0.0559718	4140	0.00244025
MEMO001	MEMO055	1838356	16333764	0.101164	0.0546528	5104	0.00277639
MEMO001	MEMO056	1804018	16891360	0.0964954	0.0560397	5957	0.00330207
MEMO001	MEMO057	2020443	19142344	0.0954715	0.0563537	7205	0.00356605
MEMO001	MEMO058	2089831	17651940	0.105858	0.0533267	7483	0.00358067
MEMO001	MEMO059	2236602	19279194	0.103952	0.0538574	7217	0.00322677
MEMO001	MEMO060	2117210	18045420	0.105007	0.0535625	7430	0.00350934
MEMO001	MEMO061	2099405	17399222	0.107669	0.0528323	7024	0.00334571
MEMO001	MEMO062	1956375	16131973	0.108157	0.0527008	6099	0.0031175
MEMO001	MEMO063	2509175	20495032	0.109075	0.0524549	9402	0.00374705
MEMO001	MEMO064	2290523	20240024	0.101663	0.0545086	8720	0.00380699
MEMO001	MEMO065	2231076	18225266	0.109065	0.0524574	7800	0.00349607
MEMO001	MEMO066	2125454	18069020	0.105249	0.0534951	7879	0.00370697
MEMO001	MEMO067	2350361	19287334	0.108623	0.0525755	9008	0.0038326
MEMO001	MEMO068	2128839	18053322	0.105481	0.0534308	7633	0.00358552
MEMO001	MEMO069	1617517	15222751	0.0960506	0.0561757	5361	0.00331434
MEMO001	MEMO070	2129758	19489788	0.0985108	0.0554322	8092	0.00379949
MEMO001	MEMO071	2366792	19913980	0.106226	0.0532257	8056	0.00340376
MEMO001	MEMO072	2349166	19720632	0.106443	0.0531662	8981	0.00382306
MEMO001	MEMO073	2318904	20248306	0.102755	0.0541957	8535	0.00368062
MEMO001	MEMO074	2578929	24156292	0.0964619	0.05605	10966	0.00425215
MEMO001	MEMO075	2846622	27515616	0.0937553	0.0568883	13261	0.0046585
MEMO001	MEMO077	1830259	17476436	0.0947992	0.0565619	6928	0.00378526
MEMO001	MEMO078	2217157	18995754	0.104519	0.0536983	6984	0.00314998
MEMO001	MEMO079	2115840	18058852	0.104876	0.0535988	7058	0.00333579
MEMO001	MEMO080	1759491	15921587	0.0995127	0.0551352	4641	0.00263769
MEMO001	MEMO081	948202	21353024	0.0425179	0.0808491	11802	0.0124467
MEMO001	MEMO082	2797835	24967352	0.100768	0.0547677	10883	0.00388979
MEMO001	MEMO083	2472836	22314152	0.0997635	0.0550613	10090	0.00408034
MEMO001	MEMO084	2019137	18418998	0.0987926	0.0553483	7983	0.00395367
MEMO001	MEMO085	2366863	20882036	0.101805	0.0544676	8388	0.00354393
MEMO001	MEMO086	1475519	14168260	0.0943199	0.0567113	3569	0.00241881
MEMO001	MEMO087	3344742	32696940	0.0928021	0.0571898	12956	0.00387354
MEMO001	MEMO088	2762009	36863412	0.069703	0.0657338	15939	0.0057708
MEMO001	MEMO089	3426945	40029732	0.0788589	0.0620275	15979	0.00466275
MEMO001	MEMO090	2136729	18795664	0.102078	0.0543894	8510	0.00398272
MEMO001	MEMO091	1827451	15549393	0.105166	0.0535182	5827	0.00318859
MEMO001	MEMO092	2355780	19680404	0.106905	0.0530398	9198	0.00390444
MEMO001	MEMO093	1946162	16696364	0.104394	0.0537334	5494	0.00282299
MEMO001	MEMO094	2085356	18448120	0.101559	0.0545386	7951	0.00381278
MEMO001	MEMO095	2591817	22607818	0.102851	0.0541685	9683	0.00373599
MEMO001	MEMO096	2359489	21833216	0.0975289	0.0557265	10246	0.00434247
MEMO001	MEMO097	2267239	20192962	0.100945	0.0547162	6959	0.00306937
MEMO001	MEMO098	2110203	20381800	0.0938201	0.0568679	8669	0.00410814
MEMO001	MEMO099	2228013	20009392	0.100192	0.0549356	9041	0.00405788
MEMO001	MEMO100	2317542	19402240	0.106702	0.0530953	8492	0.00366423
MEMO001	MEMO101	1856395	16090309	0.103439	0.0540018	6328	0.00340876
MEMO001	MEMO102	65202	17327766	0.00374876	0.157965	416	0.00638017
MEMO001	MEMO103	2121524	17996392	0.105454	0.0534382	7204	0.00339567
MEMO001	MEMO104	2283901	18562964	0.109556	0.0523268	7517	0.0032913
MEMO001	MEMO105	2110191	17333516	0.108528	0.052601	6400	0.0030329
MEMO001	MEMO106	1838319	15183932	0.107995	0.0527443	5199	0.00282813
