Kingdom	Phylum	Class	Order	Family	Genus	Species				
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Culex orthophasmavirus sp.			Culex orthophasmavirus sp.	3
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Culex orthophasmavirus sp.			Yongsan iflavirus 1	1
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Culex orthophasmavirus sp.			Yongsan picorna-like virus 2	1
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Yongsan iflavirus 1			Xanthi chryso-like virus	4
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picorna-like	unclassified	Yongsan picorna-like virus 2			Vicia faba alphaendornavirus	1
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Xanthi chryso-like virus			Hallsjon virus	1
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Xanthi chryso-like virus			Sclerotinia sclerotiorum dsRNA virus 3	2
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Xanthi chryso-like virus			Thelebolus microsporus totivirus 1	4
Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Alphaendornavirus	Vicia faba alphaendornavirus			Iflaviridae sp.	2
Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	unclassified	Hallsjon virus			Wuhan insect virus 13	1
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Sclerotinia sclerotiorum dsRNA virus 3			Wuhan Mosquito Virus 6	6
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Thelebolus microsporus totivirus 1			Marma virus	1
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Thelebolus microsporus totivirus 1			Narangue virus	3
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Thelebolus microsporus totivirus 1			Aedes alboannulatus orthomyxo-like virus	6
Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Thelebolus microsporus totivirus 1			Aedes aegypti anphevirus	4
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Iflaviridae sp.			Rinkaby virus	4
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Iflaviridae sp.			Vittskovle virus	2
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Wuhan insect virus 13			Rhopalosiphum padi virus	1
Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Sclerotinia sclerotiorum dsRNA virus 3			Culex mononega like virus 2	1
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6			Culex-associated Tombus-like virus	2
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6			Valmbacken virus	5
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6			Wuhan Mosquito Virus 4	7
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6			Hubei mosquito virus 4	1
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6			Arthrocladiella mougeotii alphaendornavirus	1
Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Luteovirus	Marma virus			Daeseongdong virus 2	1
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified	Narangue virus			Hubei odonate virus 15	5
Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus			Aedes japonicus narnavirus 1	1
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Anphevirus	Aedes aegypti anphevirus			Aedes orthophasmavirus sp.	4
