Contig	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_1_length_1003_cov_2.007559_MEMO042|10-percent	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	unclassified	unclassified
NODE_1_length_1004_cov_2.325782_NEMO34|10-percent	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	unclassified
NODE_1_length_1063_cov_2.029412_MEMO114-NC|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	Rubrivivax	Rubrivivax gelatinosus
NODE_1_length_10916_cov_125.080358_MEMO145|full	Viruses	unclassified	unclassified	unclassified	Negeviridae	unclassified	Culex negev-like virus 1
NODE_1_length_11089_cov_17.865147_MEMO141|full	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc lactis
NODE_1_length_1482_cov_5.787189_MEMO150-NC|full	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	Stylonychia	Stylonychia lemnae
NODE_1_length_16074_cov_75.800150_MEMO011|10-percent	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Alphaendornavirus	Vicia faba alphaendornavirus
NODE_1_length_1722_cov_10.544681_MEMO039|10-percent	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_1_length_17460_cov_14.926537_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_1_length_1815_cov_1.998849_MEMO084|full	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	Tymovirus	Tarnsjo virus
NODE_1_length_19301_cov_72.427799_MEMO031|full	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Nudiviridae sp.
NODE_1_length_2175_cov_10.063394_MEMO020-NC|full	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified	Fringilla montifringilla Circoviridae sp.
NODE_1_length_2306_cov_6.248093_MEMO096|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_1_length_2385_cov_16.653813_MEMO034|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei orthoptera virus 4
NODE_1_length_2455_cov_41.344828_NEMO29|full	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6
NODE_1_length_25195_cov_28.067561_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_1_length_2656_cov_21.531214_NEMO07|full	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	unclassified	Culex-associated Tombus-like virus
NODE_1_length_2758_cov_3.917568_MEMO144|full	Viruses	unclassified	unclassified	unclassified	Negeviridae	Negevirus	Rinkaby virus
NODE_1_length_2950_cov_38.758789_MEMO091|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Onchocerca	Onchocerca ochengi
NODE_1_length_2950_cov_98.367560_MEMO058|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Onchocerca	Onchocerca ochengi
NODE_1_length_3084_cov_15.137346_MEMO008|full	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Luteovirus	Marma virus
NODE_1_length_31159_cov_25.624799_MEMO050|full	Eukaryota	Arthropoda	Insecta	Coleoptera	Lampyridae	Abscondita	Abscondita terminalis
NODE_1_length_3481_cov_20.004113_MEMO112|10-percent	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi
NODE_1_length_3938_cov_956.313131_NEMO25|full	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.
NODE_1_length_4140_cov_359.250554_MEMO015|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Hubei odonate virus 15
NODE_1_length_4526_cov_8.897505_MEMO083|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_1_length_4772_cov_8.687540_NEMO-NC1|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_1_length_4935_cov_9340.893989_NEMO21|full	Viruses	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	unclassified	Daeseongdong virus 2
NODE_1_length_4963_cov_34.343840_NEMO-NC3|full	Eukaryota	Ascomycota	unclassified	unclassified	unclassified	Saitoella	Saitoella complicata
NODE_1_length_5000_cov_44.805403_NEMO08|full	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	Clostridia bacterium
NODE_1_length_5019_cov_23.356941_MEMO076-NC|full	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	unclassified	Inoviridae sp.
NODE_1_length_5101_cov_4.933718_MEMO017|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_1_length_5704_cov_21.111960_MEMO053|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_1_length_6440_cov_6.890146_MEMO112|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Aedes aegypti To virus 2
NODE_1_length_6489_cov_89.025421_MEMO067|full	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Culex orthophasmavirus sp.
NODE_1_length_6497_cov_24.966978_NEMO03|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia pipientis
NODE_1_length_6527_cov_8352.009922_MEMO025|full	Eukaryota	Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	Stylonychia	Stylonychia lemnae
NODE_1_length_6741_cov_6.817977_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_1_length_6752_cov_11.277154_NEMO23|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens
NODE_1_length_6810_cov_12.192930_NEMO-NC2|full	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unclassified	unclassified
NODE_1_length_7200_cov_7.951846_MEMO111|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Aedes aegypti To virus 2
NODE_1_length_7576_cov_418.023603_MEMO117|full	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified	Narangue virus
NODE_1_length_7711_cov_25.103615_MEMO134|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Armadillidium vulgare
NODE_1_length_8045_cov_6.667922_MEMO024|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_1_length_8105_cov_12.087319_MEMO085|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia pipientis
NODE_1_length_8654_cov_13.822665_MEMO078|full	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Rhopalosiphum padi virus
NODE_1_length_9517_cov_433.223093_NEMO27|full	Viruses	unclassified	unclassified	unclassified	Negeviridae	Negevirus	Negev-like virus 174
NODE_1_length_9705_cov_722.837661_NEMO46|full	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified	Culex Iflavi-like virus 4
NODE_1_length_9774_cov_11.660926_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Candidatus Erwinia dacicola
NODE_1_length_9827_cov_5501.828103_MEMO149|full	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picorna-like	unclassified	Yongsan picorna-like virus 2
NODE_10_length_1023_cov_4.478858_MEMO144|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	unclassified	unclassified
NODE_10_length_1038_cov_2.292404_MEMO006|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
