Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
AED99794.1,Trichomonas vaginalis virus 4,Trichomonasvirus,Totiviridae,1481,RNA-dependent RNA polymerase,USA,Trichomonas vaginalis,,2009-11
BAX04559.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,RNA dependent RNA polymerase,Japan: Saga,Rosellinia necatrix,,1997
BAM93353.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,RNA dependent RNA polymerase,"Japan: Ibaraki, Tsukuba",Rosellinia necatrix,,
BAL46425.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,RNA dependent RNA polymerase,Japan: Saga,Rosellinia necatrix,,1997
AKU48197.1,Brassica campestris chrysovirus,Alphachrysovirus,Chrysoviridae,1146,putative RNA-dependent RNA polymerase,China,,,2014-10-30
QIQ28417.1,Fusarium sacchari chrysovirus 1,Chrysovirus,Chrysoviridae,1139,RNA-dependent RNA polymerase,China,Fusarium sacchari,,2012
AKP45145.1,Fusarium oxysporum chrysovirus 2,Betachrysovirus,Chrysoviridae,1139,RNA-dependent RNA polymerase,Spain,Fusarium oxysporum f. sp. dianthi,,2008
AFE83590.1,Raphanus sativus chrysovirus,Alphachrysovirus,Chrysoviridae,1138,putative RNA-dependent RNA polymerase,China,,,2009-10-01
ADW08802.1,Fusarium graminearum chrysovirus,Betachrysovirus,Chrysoviridae,1137,RNA-dependent RNA polymerase,South Korea,Fusarium graminearum,,1998
ADU54123.1,Fusarium graminearum chrysovirus,Betachrysovirus,Chrysoviridae,1137,RNA dependent RNA polymerase,China,Fusarium graminearum,,2005-05
AXP19674.1,Colletotrichum fructicola chrysovirus 1,Betachrysovirus,Chrysoviridae,1132,putative RNA-dependent RNA polymerase,China,Colletotrichum fructicola,,
BAO20927.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,1127,RNA dependent RNA polymerase,Viet Nam,Pyricularia oryzae,,2002-04-12
BAJ15133.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,1127,RNA dependent RNA polymerase,Viet Nam,Pyricularia oryzae,,2002-04-12
QDB74971.1,Coniothyrium diplodiella chrysovirus 1,Betachrysovirus,Chrysoviridae,1125,RNA-dependent RNA polymerase,Italy,Coniella diplodiella,,2017
QCZ35876.1,Penicillium italicum chrysovirus,,Chrysoviridae,1117,RNA-dependent RNA polymerase,China,Penicillium italicum,,2016-04
AYP71812.1,Penicillium roseopurpureum chrysovirus 1,Chrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,Italy,Penicillium roseopurpureum,,2017-01
BBC27878.1,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,Japan:Aichi,Alternaria alternata,,1998-09-15
APR73428.1,Isaria javanica chrysovirus,Alphachrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,Czech Republic,Cordyceps javanica,,2015-09-24
AAM95601.1,Penicillium chrysogenum virus,Alphachrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,,Penicillium chrysogenum,,
QDB74975.1,Neofusicoccum parvum chrysovirus 1,Betachrysovirus,Chrysoviridae,1116,RNA-dependent RNA polymerase,Italy,Neofusicoccum parvum,,2017
AZT88567.1,Penicillium raistrickii chrysovirus 1,Chrysovirus,Chrysoviridae,1116,RNA-dependent RNA polymerase,USA,Penicillium raistrickii,,2017
AGZ84312.1,Botryosphaeria dothidea chrysovirus,Betachrysovirus,Chrysoviridae,1116,putative RNA-dependent RNA polymerase,China,Botryosphaeria dothidea,,2013-07-21
AZT88571.1,Beauveria bassiana chrysovirus 1,Chrysovirus,Chrysoviridae,1115,RNA-dependent RNA polymerase,USA,Beauveria bassiana,,2017
AWC67507.1,Aspergillus thermomutatus chrysovirus 1,Betachrysovirus,Chrysoviridae,1114,RNA-dependent RNA polymerase,New Zealand,Aspergillus thermomutatus,,2012-07-10
CAX48749.1,Aspergillus fumigatus chrysovirus,Alphachrysovirus,Chrysoviridae,1114,RNA-dependent RNA polymerase,United Kingdom:London,,,2006-01-19
BAI48016.1,Rosellinia necatrix megabirnavirus 1,Megabirnavirus,Megabirnaviridae,1111,RNA-dependent RNA polymerase,"Japan: Ibaraki, Tsukuba",Rosellinia necatrix,,
ADG21213.1,Verticillium dahliae chrysovirus 1,Alphachrysovirus,Chrysoviridae,1108,RNA-dependent RNA polymerase,China,Verticillium dahliae,,2010-02
