Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
BAT32944.1,Rosellinia necatrix betaendornavirus 1,Betaendornavirus,Endornaviridae,3148,complete,polyprotein,Japan,Rosellinia necatrix,,2014
ADU64759.1,Tuber aestivum betaendornavirus,Betaendornavirus,Endornaviridae,3217,complete,polyprotein,Hungary,Tuber aestivum,fruiting body,2009
AJA41110.1,Alternaria brassicicola betaendornavirus 1,Betaendornavirus,Endornaviridae,3400,complete,polyprotein,China,Alternaria brassicicola,,2013
ABD73305.1,Gremmeniella abietina betaendornavirus 1,Betaendornavirus,Endornaviridae,3429,complete,putative polyprotein,Finland,Gremmeniella abietina,,
AHN50398.1,Sclerotinia sclerotiorum betaendornavirus 1,Betaendornavirus,Endornaviridae,3459,complete,polyprotein,New Zealand,Sclerotinia sclerotiorum,,
AOZ66245.1,Botrytis cinerea betaendornavirus 1,Betaendornavirus,Endornaviridae,3787,complete,polyprotein,China,Botrytis cinerea,,2013
ALX17418.1,Erysiphe cichoracearum alphaendornavirus,Alphaendornavirus,Endornaviridae,3952,complete,polyprotein,"China: Jingzhou, Hubei",Golovinomyces cichoracearum,,2015-06-16
AXX39023.1,Sclerotinia minor betaendornavirus 1,Betaendornavirus,Endornaviridae,4020,complete,polyprotein,China,Sclerotinia minor,,2012-05
AFV91541.1,Grapevine endophyte alphaendornavirus,Alphaendornavirus,Endornaviridae,4027,complete,polyprotein,South Africa,,,2011-05-16
AYA60157.1,Cluster bean endornavirus 1,,Endornaviridae,4207,complete,polyprotein,USA: Texas,Cyamopsis tetragonoloba,,
AQM32768.1,Agaricus bisporus alphaendornavirus 1,Alphaendornavirus,Endornaviridae,4217,partial,replicase,United Kingdom,Agaricus bisporus,,2002-08
AEX28369.1,Persea americana alphaendornavirus 1,Alphaendornavirus,Endornaviridae,4393,complete,polyprotein,Spain,Persea americana,,2010
BAA06862.1,Oryza sativa alphaendornavirus,Alphaendornavirus,Endornaviridae,4572,complete,polyprotein,,Oryza sativa Japonica Group,plant leaf,
AID67139.1,Yerba mate alphaendornavirus,Alphaendornavirus,Endornaviridae,4580,complete,putative polyprotein,Argentina,Ilex paraguariensis,,2013-11-01
CAI47561.1,Phytophthora alphaendornavirus 1,Alphaendornavirus,Endornaviridae,4612,partial,hypothetical protein,USA:Oregon,,,
ALJ56097.1,Phaseolus vulgaris alphaendornavirus 1,Alphaendornavirus,Endornaviridae,4619,partial,polyprotein,Brazil,Phaseolus vulgaris,plant leaf,2014-10-01
ALT66307.1,Hordeum vulgare alphaendornavirus,Alphaendornavirus,Endornaviridae,4663,complete,polyprotein,Germany,Hordeum vulgare,,2015
BAV69339.1,Winged bean alphaendornavirus 1,Alphaendornavirus,Endornaviridae,4785,complete,polyprotein,,Psophocarpus tetragonolobus,plant seed,
AWK67841.1,Helianthus annuus alphaendornavirus,Alphaendornavirus,Endornaviridae,4867,complete,polyprotein,China,Helianthus annuus,,2016-07-05
AQW41907.1,Bell pepper alphaendornavirus,Alphaendornavirus,Endornaviridae,4884,complete,polyprotein,Colombia,Capsicum annuum,,2015-03-01
ALD49085.1,Hot pepper alphaendornavirus,Alphaendornavirus,Endornaviridae,4884,complete,polyprotein,South Korea,Capsicum frutescens,,2011-06-11
ALJ56098.1,Phaseolus vulgaris alphaendornavirus 2,Alphaendornavirus,Endornaviridae,4920,partial,polyprotein,Brazil,Phaseolus vulgaris,plant leaf,2014-10-01
AXB99512.1,Phaseolus vulgaris alphaendornavirus 3,Alphaendornavirus,Endornaviridae,4932,complete,polyprotein,USA,Phaseolus vulgaris,,2014-10
ALV83885.1,Cucumis melo alphaendornavirus,Alphaendornavirus,Endornaviridae,4939,complete,polyprotein,USA: Mississippi,Cucumis melo,,2012-08-10
AHK22715.1,Lagenaria siceraria alphaendornavirus,Alphaendornavirus,Endornaviridae,4974,complete,polyprotein,"USA: Fallbrook, CA",Lagenaria siceraria,,2011-09-01
AMM45288.1,Rhizoctonia solani alphaendornavirus 2,Alphaendornavirus,Endornaviridae,5262,partial,polyprotein,USA,Rhizoctonia solani,,
BAE94538.1,Helicobasidium mompa alphaendornavirus 1,Alphaendornavirus,Endornaviridae,5373,complete,polyprotein,,,,
AGY34962.1,Rhizoctonia cerealis alphaendornavirus 1,Alphaendornavirus,Endornaviridae,5747,complete,polyprotein,China,Ceratobasidium cereale,mycelium,2009
CAA04392.1,Vicia faba alphaendornavirus,Alphaendornavirus,Endornaviridae,5825,partial,ORFA+B,,Vicia faba,,
