Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009507905.1,Coffee ringspot virus,Dichorhavirus,Rhabdoviridae,1864,complete,RNA-dependent RNA polymerase,,,,
YP_009666993.1,Clerodendrum chlorotic spot dichorhavirus,Dichorhavirus,Rhabdoviridae,1874,complete,RNA-dependent RNA polymerase,"Brazil: Piracicaba, Sao Paulo",Clerodendrum,plant leaf,2017
YP_001294929.1,Orchid fleck dichorhavirus,Dichorhavirus,Rhabdoviridae,1877,complete,polymerase,Japan,,,
YP_009976137.1,Citrus leprosis N dichorhavirus,Dichorhavirus,Rhabdoviridae,1879,complete,RNA-dependent RNA polymerase,Brazil: Ibiuna,Citrus sinensis,,2015-10
YP_009336728.1,Orthopteran anphevirus,Anphevirus,Xinmoviridae,1926,complete,RNA-dependent RNA polymerase,China,Orthoptera,,2013
YP_010229226.1,Rio Chico almendravirus,Almendravirus,Rhabdoviridae,1931,complete,RNA-dependent RNA polymerase,Panama,Culicidae,,2013
YP_009337121.1,Odonate anphevirus,Anphevirus,Xinmoviridae,1997,complete,RNA-dependent RNA polymerase,China,Odonata,,2013
YP_009302387.1,Xincheng anphevirus,Anphevirus,Xinmoviridae,2026,complete,RNA-dependent RNA polymerase,China,Anopheles sinensis,,2013
YP_010229213.1,Coot Bay almendravirus,Almendravirus,Rhabdoviridae,2035,complete,RNA-dependent RNA polymerase,"USA: Everglades National Park,FL",Anopheles quadrimaculatus,,2013-07-25
YP_009337182.1,Dipteran anphevirus,Anphevirus,Xinmoviridae,2039,complete,RNA-dependent RNA polymerase,China,Diptera,,2013
YP_010229220.1,Balsa almendravirus,Almendravirus,Rhabdoviridae,2042,complete,RNA-dependent RNA polymerase,Colombia: Cordoba Province,Psorophora albigenu,,2013-06-15
YP_009094424.1,Almpiwar sripuvirus,Sripuvirus,Rhabdoviridae,2051,complete,putative RNA-dependent RNA polymerase,Australia,Culex edwardsi,,
