Contig	taxID	Avg. % identity
NODE_1000_length_503_cov_1.068075_MEMO130|full	42434	76.4
NODE_1000_length_516_cov_1.161731_NEMO15|full	518105	842.333.333.333.333
NODE_1000_length_531_cov_0.894273_MEMO149|full	1236	95.504
NODE_1000_length_570_cov_3.073022_MEMO025|full	312017	39.5
NODE_1000_length_576_cov_1.398798_MEMO133|full	42434	100
NODE_1000_length_581_cov_1.400794_NEMO-NC4|full	2100421	37
NODE_1000_length_602_cov_5.268571_NEMO-NC1|full	747525	60
NODE_1000_length_610_cov_1.515947_MEMO050|full	68334	97.9
NODE_1000_length_629_cov_0.713768_MEMO115|full	7147	413.636.363.636.364
NODE_1000_length_702_cov_1.899200_MEMO111|full	7160	701.666.666.666.667
NODE_1000_length_777_cov_3.030000_NEMO-NC2|full	1869212	97
NODE_1000_length_791_cov_2.665266_MEMO112|full	2689361	64.1
NODE_1000_length_799_cov_2.292244_MEMO033|full	1903409	98.5
NODE_1000_length_806_cov_2.897119_MEMO048|full	1903409	100
NODE_1000_length_842_cov_1.427451_NEMO-NC3|full	1095465	67.7
NODE_1001_length_505_cov_1.296729_MEMO026|full	42434	97.1
NODE_1001_length_509_cov_1.175926_MEMO118|full	7160	39
NODE_1001_length_524_cov_0.928412_MEMO054|full	7176	70.2
NODE_1001_length_538_cov_2.169197_NEMO31|full	34485	41.7
NODE_1001_length_538_cov_2.891540_MEMO009-NC|full	1472718	99.4
NODE_1001_length_557_cov_1.245833_NEMO03|full	42434	100
NODE_1001_length_570_cov_2.423935_MEMO025|full	5907	88.6
NODE_1001_length_576_cov_1.212425_MEMO133|full	7176	97.9
NODE_1001_length_576_cov_1.392786_MEMO143|full	7176	80
NODE_1001_length_668_cov_2.470389_MEMO116|full	7160	30.5
NODE_1001_length_701_cov_3.865385_MEMO111|full	7160	56.6
NODE_1001_length_777_cov_2.538571_NEMO-NC2|full	2026774	55.2
NODE_1001_length_798_cov_2.638003_MEMO033|full	1903409	96.84
NODE_1002_length_538_cov_2.783080_MEMO009-NC|full	3332	70
NODE_1002_length_570_cov_2.022312_MEMO025|full	312017	30.4
NODE_1002_length_584_cov_1.495069_MEMO128|full	158483	97.9
NODE_1002_length_584_cov_1.581854_NEMO16|full	7176	96.1
NODE_1002_length_602_cov_1.716190_NEMO-NC1|full	1802209	35.2
NODE_1002_length_628_cov_4.887477_MEMO115|full	7160	59.1
NODE_1002_length_668_cov_1.326565_MEMO116|full	7157	612.416.666.666.667
NODE_1002_length_798_cov_2.148405_MEMO033|full	41202	76.6
NODE_1002_length_805_cov_4.855769_MEMO048|full	1903409	98.8
NODE_1002_length_841_cov_3.841623_NEMO-NC3|full	543	999.695.652.173.913
NODE_1003_length_509_cov_0.773148_MEMO118|full	7160	54.7
NODE_1003_length_530_cov_1.582781_MEMO149|full	553	100
NODE_1003_length_570_cov_1.904665_MEMO025|full	312017	52.4
NODE_1003_length_576_cov_0.667335_MEMO143|full	7176	57.7
NODE_1003_length_581_cov_1.083333_NEMO-NC4|full	159749	58.3
NODE_1003_length_583_cov_2.057312_MEMO128|full	2545798	99.5
NODE_1003_length_668_cov_1.038917_MEMO116|full	518105	557.666.666.666.667
NODE_1003_length_679_cov_1.740864_MEMO113|full	7159	58.8
NODE_1003_length_797_cov_8.327778_MEMO033|full	1929246	64.9
NODE_1003_length_805_cov_4.822802_MEMO048|full	1903409	100
NODE_1003_length_841_cov_3.090314_NEMO-NC3|full	2100421	72.3
NODE_1004_length_505_cov_1.233645_NEMO54|full	7167	49
