Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
ASM94016.1,Barns Ness breadcrumb sponge tombus-like virus 2,,Tombusviridae,1066,partial,putative replicase,United Kingdom: Scotland,,,2014
YP_009333221.1,Shahe isopoda virus 5,,,937,complete,hypothetical protein 2,China,Arthropoda,,2013
ASM94000.1,Caledonia beadlet anemone tombus-like virus 1,,Tombusviridae,895,partial,putative replicase,United Kingdom: Scotland,,,2014
QTJ63614.1,Hemipteran tombus-related virus,,Tombusviridae,526,partial,RNA-dependent RNA polymerase,"Germany: North Rhine-Westphalia, Bonn",,,2011-04-10
YP_009337267.1,Sanxia water strider virus 14,,,495,complete,hypothetical protein 3,China,Gerridae,,2013
BBN50999.1,Korle-bu Aedes virus,,,483,partial,hypothetical protein 3,Ghana: Accra,Aedes aegypti,,2016-07
QGA87328.1,Hammarskog tombus-like virus,,Tombusviridae,482,partial,hypothetical protein,Sweden,,,2017
YP_009553261.1,Yongsan tombus-like virus 1,,Tombusviridae,479,complete,hypothetical protein 2,South Korea: Yongsan,,,2016-07-22
QGA87325.1,Flen tombus-like virus,,Tombusviridae,479,partial,hypothetical protein,Sweden,,,2017
YP_009342051.1,Wenzhou tombus-like virus 11,,,477,complete,hypothetical protein 2,China,Culicidae,,2013
QRW42172.1,Hubei mosquito virus 4,,,476,partial,ORF2,"USA: Alameda County, California",Culex erythrothorax,,2017-09-21
AXQ04814.1,Culex Hubei-like virus,,Nodaviridae,476,complete,hypothetical protein,USA,Culex,,2016-07-02
AMO03229.1,Corseley virus,,,459,partial,putative polymerase,United Kingdom,Drosophila subobscura,,2011
QNL09594.1,Clinch tombus-like virus 1,,Tombusviridae,423,partial,putative replicase,"USA: Clinch River, Sycamore Island, Virginia",,,2018-10-25
YP_009337078.1,Hubei tombus-like virus 15,,,363,complete,hypothetical protein 2,China,Scutigera coleoptrata,,2013
