Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_010085115.1,Fusarium graminearum chrysovirus,Betachrysovirus,Chrysoviridae,1137,complete,RNA-dependent RNA polymerase,South Korea,Fusarium graminearum,,1998
YP_010088028.1,Aspergillus thermomutatus chrysovirus 1,Betachrysovirus,Chrysoviridae,1114,complete,RNA-dependent RNA polymerase,New Zealand,Aspergillus thermomutatus,,2012-07-10
YP_010088049.1,Coniothyrium diplodiella chrysovirus 1,Betachrysovirus,Chrysoviridae,1125,complete,RNA-dependent RNA polymerase,Italy,Coniella diplodiella,,2017
YP_010088052.1,Neofusicoccum parvum chrysovirus 1,Betachrysovirus,Chrysoviridae,1116,complete,RNA-dependent RNA polymerase,Italy,Neofusicoccum parvum,,2017
YP_010088084.1,Chrysothrix chrysovirus 1,Alphachrysovirus,Chrysoviridae,1089,complete,RNA-dependent RNA polymerase,Czech Republic,Penicillium citreosulfuratum,,2014
YP_009667008.1,Macrophomina phaseolina chrysovirus,Alphachrysovirus,Chrysoviridae,1105,complete,RNA-dependent RNA polymerase,USA,Macrophomina phaseolina,,2013-06-01
YP_009551629.1,Colletotrichum fructicola chrysovirus 1,Betachrysovirus,Chrysoviridae,1132,complete,putative RNA-dependent RNA polymerase,China,Colletotrichum fructicola,,
YP_009551684.1,Eimeria stiedai RNA virus 1,,Totiviridae,1100,complete,RNA-dependent RNA polymerase,China,Eimeria stiedai,,2012-09-09
YP_009551937.1,Panax notoginseng virus A,,Totiviridae,738,complete,putative RNA-dependent RNA polymerase,"China: Shilin, Yunnan",Panax notoginseng,,2014-10-20
YP_009552275.1,Pythium polare RNA virus 1,,Totiviridae,759,complete,RNA-dependent RNA polymerase,Norway,Pythium polare,,
YP_009552778.1,Fusarium asiaticum victorivirus 1,Victorivirus,Totiviridae,842,complete,RNA-dependent RNA polymerase,China,Fusarium asiaticum,,2016-04
