Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
QIQ28417.1,Fusarium sacchari chrysovirus 1,Chrysovirus,Chrysoviridae,1139,complete,RNA-dependent RNA polymerase,China,Fusarium sacchari,,2012
QHA33836.1,Salado alphachrysovirus,Alphachrysovirus,Chrysoviridae,1120,partial,RdRp,Colombia,,,2016-04
QGR26538.1,Chrysothrix chrysovirus 1,Alphachrysovirus,Chrysoviridae,1089,complete,RNA-dependent RNA polymerase,Czech Republic,Penicillium citreosulfuratum,,2014
QDB74971.1,Coniothyrium diplodiella chrysovirus 1,Betachrysovirus,Chrysoviridae,1125,complete,RNA-dependent RNA polymerase,Italy,Coniella diplodiella,,2017
QDB74975.1,Neofusicoccum parvum chrysovirus 1,Betachrysovirus,Chrysoviridae,1116,complete,RNA-dependent RNA polymerase,Italy,Neofusicoccum parvum,,2017
QCZ35876.1,Penicillium italicum chrysovirus,,Chrysoviridae,1117,complete,RNA-dependent RNA polymerase,China,Penicillium italicum,,2016-04
AZT88567.1,Penicillium raistrickii chrysovirus 1,Chrysovirus,Chrysoviridae,1116,complete,RNA-dependent RNA polymerase,USA,Penicillium raistrickii,,2017
AZT88571.1,Beauveria bassiana chrysovirus 1,Chrysovirus,Chrysoviridae,1115,complete,RNA-dependent RNA polymerase,USA,Beauveria bassiana,,2017
AWC67507.1,Aspergillus thermomutatus chrysovirus 1,Betachrysovirus,Chrysoviridae,1114,partial,RNA-dependent RNA polymerase,New Zealand,Aspergillus thermomutatus,,2012-07-10
AYP71812.1,Penicillium roseopurpureum chrysovirus 1,Chrysovirus,Chrysoviridae,1117,partial,RNA-dependent RNA polymerase,Italy,Penicillium roseopurpureum,,2017-01
AYP71816.1,Penicillium brevicompactum partitivirus 1,,Partitiviridae,539,partial,RNA-dependent RNA polymerase,Italy,Penicillium brevicompactum,,2017-01
AYD75734.1,Zea mays chrysovirus 1,Alphachrysovirus,Chrysoviridae,1090,partial,putative RNA-dependent RNA polymerase,USA,,,1997
AXP19674.1,Colletotrichum fructicola chrysovirus 1,Betachrysovirus,Chrysoviridae,1132,partial,putative RNA-dependent RNA polymerase,China,Colletotrichum fructicola,,
BBC27878.1,Alternaria alternata chrysovirus,Betachrysovirus,Chrysoviridae,1117,partial,RNA-dependent RNA polymerase,Japan:Aichi,Alternaria alternata,,1998-09-15
ASA47395.1,Hubei chryso-like virus 1,,,1118,complete,RdRp,Australia: Siesta Park,Culex globocoxitus,,2015-09-15
ASA47445.1,Shuangao insect-associated chrysovirus,Alphachrysovirus,Chrysoviridae,1118,complete,RdRp,Australia: South Guildford,,,2015-08-19
