Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009337062.1,Hubei picorna-like virus 61,,,2741,hypothetical protein,China,Culicidae,,2013
YP_009337100.1,Hubei picorna-like virus 59,,,2904,hypothetical protein,China,Araneae,,2013
YP_009337160.1,Hubei picorna-like virus 62,,,2904,hypothetical protein,China,Araneae,,2013
YP_009337405.1,Hubei tetragnatha maxillosa virus 5,,,3100,hypothetical protein,China,Tetragnatha maxillosa,,2013
YP_009337411.1,Hubei picorna-like virus 58,,,2856,hypothetical protein,China,Tetragnatha maxillosa,,2013
YP_009140561.1,Thika virus,,,2864,putative polyprotein,United Kingdom,Insecta,,
QTJ62264.1,Bactrocera tryoni picorna-like virus 1,,,2876,polyprotein,Australia,Bactrocera tryoni,,2018
QOW40811.1,Kilifi Virus,,,2904,putative polyprotein,Ethiopia: Ganta Afeshum,Apis mellifera,,2017-08
QMU95558.1,Bactrocera dorsalis picorna-like virus,,Picornaviridae,2817,putative polyprotein,China,,,2018-03-15
QIN93585.1,Hubei picorna-like virus 63,,,2873,polyprotein,Spain,,,2015
QIJ25869.1,Old Port virus,,,3115,hypothetical protein,Australia: Port Douglas,Arthropoda,,2018-04-18
QIJ25870.1,Warroolaba Creek virus 3,,,2752,hypothetical protein,Australia: Warrill View,Arthropoda,,2018-03-20
QHA33681.1,Atrato picorna-like virus 1,,,3088,polyprotein,Colombia,Anopheles sp.,,2016-04
AXV43894.1,Yongsan picorna-like virus 2,,,3088,polyprotein,South Korea: Humphreys,Culex inatomii,,2016-07-13
APG76656.1,Zhejiang mosquito virus 1,,,3113,hypothetical protein,China,Culicidae,,2013
APG77457.1,Hubei picorna-like virus 60,,,3055,hypothetical protein,China,Tetragnatha maxillosa,,2013
