Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009389287.1,Big Sioux River virus,,Dicistroviridae,2007,non-structural polyprotein,Kenya,Aphis fabae,,2014-11-15
YP_009345032.1,Wuhan insect virus 33,,,2000,hypothetical protein 1,China,Hexapoda,,2013
YP_009337313.1,Hubei picorna-like virus 14,,,2023,hypothetical protein 1,China,Odonata,,2013
UER43535.1,Aphis glycines virus,,,1300,nonstructural polyprotein,China,Aphis,,
QWO79067.1,Rhopalosiphum padi virus,Cripavirus,Dicistroviridae,1998,nonstructural polyprotein,Denmark: Moensted,,feces,2018-10
QQN90115.1,Soybean thrips dicistrovirus 1,,Dicistroviridae,1999,nonstructural polyprotein,USA,Neohydatothrips variabilis,,2018
QJI52144.1,Dicistroviridae sp.,,Dicistroviridae,1998,nonstructural polyprotein,China,,feces,2018
QGX47959.1,Aphid lethal paralysis virus,Cripavirus,Dicistroviridae,2036,ORF-1,Zimbabwe,,feces,2017
AYH52668.1,Aphis gossypii virus,Cripavirus,Dicistroviridae,2007,ORF1,Israel,Aphis gossypii,,2015-08-16
AXQ04777.1,Culex dicistrovirus 2,,Dicistroviridae,1998,nonstructural polyprotein,USA,Culex,,2016-07-02
