Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009552739.1,Ying Kou virus,Negevirus,,2357,putative RNA-dependent RNA polymerase,China,Culex pipiens pallens,,2017-08
YP_009388582.1,Culex negev-like virus 2,,,2369,RdRp,Australia: Point Douro,Culex australicus,,2015-09-07
YP_009351821.1,Big Cypress virus,,,2333,hypothetical protein 1,USA,Anopheles atropos,,2014
YP_009351827.1,San Bernardo virus,,,2337,hypothetical protein 1,Colombia,Culicoidea,,2013
YP_009351830.1,Piura virus,Negevirus,,2336,hypothetical protein 1,Colombia,Culex,,2013
YP_009351835.1,Loreto virus,Negevirus,,2337,hypothetical protein 1,Peru,Anopheles albimanus,,1983
YP_009345038.1,Xingshan nematode virus 2,,,2722,RdRp,China,Nematoda,,2014
YP_009345041.1,Xinzhou nematode virus 1,,,2708,hypothetical protein,China,Nematoda,,2014
YP_009333208.1,Shayang virga-like virus 1,,,2804,RdRp,China,Toxocara,,2014
YP_009182191.1,Daeseongdong virus 1,,,2361,putative RNA-dependent RNA polymerase,South Korea: Daeseongdong,Culex pipiens,,2012-08-30
UEP18262.1,Virgaviridae sp.,,Virgaviridae,2191,RNA-dependent RNA polymerase,China: Yunnan,,,
UBB38827.1,Alphamesonivirus 1,Alphamesonivirus,Mesoniviridae,2282,ORF1,Australia:Queensland,Aedes notoscriptus,pooled insects,2018
QVL22804.1,Ingleside virus,,,2839,RNA-dependent RNA polymerase,Australia,Ixodes holocyclus,,2018
QVG74712.1,ssRNA positive-strand virus sp.,,,2186,RNA-dependent RNA polymerase,China: Yunnan,,,
QQP18763.1,Soybean thrips nege-like virus 1,Negevirus,,2381,RNA-dependent RNA polymerase,USA,Neohydatothrips variabilis,,2018
QOK99941.1,Mekrijarvi negevirus,Negevirus,,2355,RNA dependent RNA polymerase,Finland,Aedes vexans,,2018-08
QOJ43133.1,Nelorpivirus dungfly,,,2399,ORF1,,Scathophaga furcata,,2019-08-11
QLJ83503.1,Parry's Creek negev-like virus 1,Negevirus,,2742,RNA-dependent RNA polymerase,Australia,Culex annulirostris,,2018-03-26
BBQ04461.1,Culex pseudovishnui negev-like virus,Negevirus,,2763,RNA-dependent RNA polymerase,Japan: Nagasaki, Isahaya,Culex pseudovishnui,,2017-08-29
BBN20799.1,West Accra virus,,,2368,hypothetical protein 1,Ghana: Accra,Aedes aegypti,,2015-10
QGN03452.1,Aedes albopictus negev-like virus,Negevirus,,2716,replicase,Australia,Aedes aegypti,,2018-07-09
QBR99594.1,Manglie virus,,,2284,hypothetical protein,China,Culex tritaeniorhynchus,pooled insects,2011-08
AXV43886.1,Yongsan negev-like virus 1,Negevirus,,2735,RNA-dependent RNA polymerase,South Korea: Yongsan,Culex inatomii,,2016-09-05
AXQ04799.1,Culex Virga-like virus,,Virgaviridae,2726,RNA-dependent RNA polymerase,USA,,,2016-07-02
AXQ04831.1,Culex Negev 730-like virus,,Nodaviridae,2368,ORF1,USA,Culex,,2016-07-02
AXQ04834.1,Culex Negev EO-329-like virus,,Nodaviridae,2368,ORF1,USA,Culex,,2016-07-02
ASO75592.1,Negev virus,Negevirus,,2368,ORF1,Italy,Culex pipiens,,2008
ASA47386.1,Culex negev-like virus 1,,,2726,RdRp,Australia: Siesta Park,Culex globocoxitus,,2015-09-15
AQZ55396.1,Castlerea virus,Negevirus,,2369,ORF1,Australia,Culex,,2014
AQM55305.1,Cordoba virus,,,2340,hypothetical protein 1,USA,Culex cedecei,,2013
AQM55484.1,Brejeira virus,Negevirus,,2336,hypothetical protein 1,Brazil: Para State,Culex,,2005
APG77603.1,Hubei negev-like virus 2,,,2188,hypothetical protein,China,Hexapoda,,2013
BAS69360.1,Negevirus Nona 1,Negevirus,,2361,hypothetical protein,Japan:Hokkaido, Okushiri island,Aedes,,
CCV01575.2,Negev-like virus 174,Negevirus,,2368,polymerase,,Ochlerotatus caspius,,
