Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
QQD36926.1,Aedes sobemo-like virus,Sobemovirus,Solemoviridae,436,partial,RNA-dependent RNA polymerase,Brazil,,,2017-06
AXV43879.1,Yongsan sobemo-like virus 1,Sobemovirus,Solemoviridae,441,partial,hypothetical protein 2,South Korea: Yongsan,,,2016-05-26
YP_009337273.1,Shuangao insect virus 9,,,309,complete,hypothetical protein 2,China,Hexapoda,,2013
YP_009337354.1,Wenzhou sobemo-like virus 3,,,357,complete,hypothetical protein 3,China,Culicidae,,2013
YP_009337376.1,Wenzhou sobemo-like virus 4,,,441,complete,hypothetical protein 2,China,Culicidae,,2013
YP_009337877.1,Hubei mosquito virus 2,,,351,complete,hypothetical protein 2,China,Culicidae,,2013
YP_009329983.1,Hubei sobemo-like virus 9,,,348,complete,hypothetical protein 2,China,Araneae,,2013
YP_009329992.1,Hubei sobemo-like virus 11,,,314,complete,hypothetical protein 2,China,Araneae,,2013
YP_009330010.1,Hubei sobemo-like virus 10,,,371,complete,hypothetical protein 2,China,Araneae,,2013
YP_009330088.1,Hubei sobemo-like virus 8,,,347,complete,hypothetical protein 2,China,Odonata,,2013
YP_009330098.1,Hubei sobemo-like virus 13,,,353,complete,hypothetical protein 3,China,Scutigera coleoptrata,,2013
UBJ25987.1,Sichuan mosquito sobemo-like virus,,Solemoviridae,441,partial,RNA-dependent RNA polymerase,China: Sichuan Province,,,2020-09
QZZ63305.1,Vespula vulgaris Sobemo-like virus 1,,Solemoviridae,436,partial,hypothetical protein,Belgium,,,
QZZ63315.1,Vespula vulgaris Luteo-like virus 2,,Luteoviridae,411,partial,hypothetical protein,Belgium,,,
QZZ63345.1,Leuven Sobemo-like virus 1,,Solemoviridae,364,partial,hypothetical protein,Belgium,,,
QZZ63405.1,Nelson Sobemo-like virus 1,,Solemoviridae,374,partial,hypothetical protein,New Zealand,,,
QYC92637.1,Rhodnius prolixus virus 6,,,441,partial,putative RdRp,Brazil,Rhodnius prolixus,ovary,
QRW41864.1,Kellev virus,,,441,partial,RNA-dependent RNA polymerase,"USA: San Diego County, California",Culiseta particeps,,2017-12-01
QRW42294.1,Marma virus,,Luteoviridae,351,partial,RNA-dependent RNA polymerase,"USA: Coachella Valley, California",,,2017-11-07
QQO81419.1,Soybean thrips sobemo-like virus 9,,Solemoviridae,370,partial,RNA-dependent RNA polymerase,USA,,,2018
QOW03291.1,Kisumu mosquito virus,,,356,partial,RNA-dependent RNA polymerase,Kenya: Kisumu,Aedes aegypti,,2018
QOI91429.1,Guangzhou sobemo-like virus,,Solemoviridae,441,partial,RNA-dependent RNA polymerase,China: Guangzhou,,,2017
QOI91445.1,Kwale mosquito virus,,,441,partial,RNA-dependent RNA polymerase,Kenya: Kwale,Aedes aegypti,,2018
BBQ04781.1,Culex inatomii luteo-like virus,,,351,partial,hypothetical protein 2,"Japan: Tottori, Yonago",Culex inatomii,,2017-07-19
QHD64767.1,Plasmopara viticola lesion associated sobemo-like 1,,Solemoviridae,347,partial,RdRp,Spain,,,2018
QHA33869.1,Atrato Sobemo-like virus 5,,Solemoviridae,441,partial,RdRp,Colombia,,,2016-04
QEM39253.1,Guadeloupe mosquito virus,,,441,complete,RNA-dependent RNA polymerase,Guadeloupe,Aedes aegypti,,2017
QBA55493.1,Renna virus,,,380,complete,RNA-dependent RNA polymerase,Mexico,Aedes aegypti,,2016
AYP67537.1,Store beach virus,,,348,partial,RNA-dependent RNA polymerase,Australia,Amblyomma moreliae,,2016
AYP67542.1,Blue fish point virus,,,353,partial,hypothetical protein,Australia,Ixodes holocyclus,,2016
AXQ04793.1,Culex-associated Luteo-like virus,,Luteoviridae,357,complete,hypothetical protein,USA,,,2016-07-02
