#queryID	taxID	Avg. % identity
NODE_101_length_1206_cov_27.850310_MEMO031|full	2952036	98.5
NODE_101_length_1285_cov_17.030629_MEMO115|full	2010276	44.7
NODE_106_length_1164_cov_11.001840_MEMO031|full	1511853	42
NODE_106_length_1439_cov_3.434655_MEMO111|full	2010267	46.2
NODE_107_length_1163_cov_12.428177_MEMO031|full	2952036	96.4
NODE_10_length_2005_cov_2400.651971_NEMO25|full	40053	60.2
NODE_10_length_2154_cov_62.412614_MEMO117|full	2010267	63
NODE_10_length_2642_cov_133.627680_NEMO36|full	39756	50.45
NODE_10_length_4782_cov_34.595749_MEMO031|full	2952036	87.5
NODE_113_length_1028_cov_5.627760_NEMO36|full	2952016	49.8
NODE_11_length_1715_cov_519.374237_NEMO25|full	40053	79.1
NODE_11_length_2924_cov_321.855638_MEMO011|full	2970720	99.3
NODE_12_length_1366_cov_3.589604_MEMO014|full	2716731	55.5
NODE_12_length_2084_cov_4738.112606_MEMO117|full	2689367	43.1
NODE_12_length_2374_cov_23.797562_MEMO126|full	1608129	97.3
NODE_12_length_2389_cov_32.748270_MEMO116|full	1980538	42.3
NODE_12_length_4503_cov_12.415047_MEMO031|full	1511853	39.125
NODE_131_length_1025_cov_21.050633_MEMO031|full	92521	44.2
NODE_135_length_1018_cov_19.778959_MEMO031|full	1654582	44.8
NODE_136_length_1168_cov_12.123740_MEMO115|full	10239	57
NODE_137_length_1011_cov_23.383298_MEMO031|full	1511853	41.75
NODE_13_length_1235_cov_1177.447323_NEMO25|full	1853202	63.4
NODE_13_length_3516_cov_325.585345_NEMO33|full	2805777	98.8
NODE_14_length_1215_cov_406.267135_NEMO25|full	40053	42.4
NODE_15_length_1204_cov_732.615794_NEMO25|full	10892	78.8
NODE_15_length_4260_cov_12.062634_MEMO031|full	2952036	93.6
NODE_16_length_1236_cov_3.930112_MEMO014|full	2900517	49.5
NODE_16_length_3178_cov_854.352789_MEMO053|full	2805777	97.9
NODE_18_length_1805_cov_47.174190_MEMO117|full	2010267	63.5
NODE_18_length_2053_cov_27.242409_MEMO126|full	1608129	96.6
NODE_18_length_3116_cov_202.151037_MEMO053|full	2805777	97.3
